Hour,DayOfWeek,TransactionType_refund,Amount_scaled,IsFraud
14,2,1.0,1.1731607227019312,0
13,1,1.0,0.11274011634023542,0
10,0,0.0,-1.1876610026473793,0
23,5,0.0,0.7052836504619944,0
18,4,0.0,-1.475325639665645,0
1,4,0.0,0.40843299064351646,0
11,1,1.0,-0.7142168539481443,0
12,6,0.0,-1.0953085424801146,0
2,3,1.0,-0.6041024387513373,0
6,1,0.0,-1.27219321095152,0
17,5,1.0,0.9697995100237253,0
16,1,0.0,-1.0760837566499348,0
2,5,1.0,0.24861005961461832,0
13,6,1.0,1.2595093370239248,0
9,5,1.0,1.4572618761584542,0
6,5,0.0,-0.6745956310777954,0
22,3,1.0,0.15589015853534494,0
23,6,1.0,-0.7898819504323067,0
6,3,0.0,1.5452743738555808,0
1,1,1.0,-0.4729191003169117,0
11,4,1.0,-1.5441480157695737,0
17,5,0.0,-1.3761651233551286,0
22,5,1.0,0.3019583203298124,0
18,4,1.0,-0.9151238386480292,0
9,0,0.0,0.8074322240003531,0
0,3,0.0,0.8096576680145932,0
11,6,0.0,1.1711848611939608,0
22,6,0.0,-0.6619639831215791,0
23,6,1.0,1.2920382570077704,0
1,2,0.0,-1.1331549564169887,0
17,2,1.0,-0.994421747167898,0
1,3,0.0,1.1546916172379573,0
16,0,1.0,0.6533843548526449,0
20,5,0.0,1.0098575022800464,0
8,4,1.0,-1.3733642530069885,0
9,6,1.0,-0.9898322021914903,0
19,1,1.0,-0.3781748077978937,0
2,0,1.0,-0.28573222061447595,0
9,4,0.0,0.49011579866774246,0
18,5,1.0,-1.6906460141026174,0
21,0,1.0,0.6765192666143865,0
0,2,0.0,-0.6995608145521832,0
2,2,1.0,-1.19448985733282,0
23,1,1.0,-0.10421641008228416,0
14,4,1.0,-1.3035643454201689,0
19,6,1.0,-0.30802132499385837,0
16,2,1.0,1.619504370928691,0
13,2,0.0,1.4940475644436806,0
13,5,1.0,-0.007309069175593341,0
10,3,0.0,1.0201111835793024,0
6,3,1.0,-1.7108691299578767,0
2,2,1.0,-1.1645052923434482,0
23,1,1.0,-0.48253495965569987,0
5,1,0.0,-1.217701030415922,0
12,3,0.0,0.14105386510707804,0
19,2,0.0,-1.1244195686975416,0
15,0,1.0,0.36379931910558033,0
4,4,0.0,0.7360654929019506,0
13,2,1.0,-1.4241750915751052,0
17,1,1.0,0.9286599935735678,0
17,1,1.0,1.5327120543733286,0
5,2,0.0,-0.2962978800465689,0
15,5,1.0,-1.0225691075972272,0
